店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
まめたい寿司 牛込柳町店,187206885,,東京都,新宿区,市谷柳町24-1,,https://gjj9100.gorp.jp/,True
"焼肉 食べ放題
火ノ丸 ‐Hinomaru‐ 新宿歌舞伎町店",187206885,,東京都,新宿区,歌舞伎町1-6-6,,https://ggu7402.gorp.jp/,True
個室完備 居酒屋 牛たんと炊き立て釜飯 権兵衛 町田店,187206885,,東京都,町田市,原町田6-10-10,,https://gj13706.gorp.jp/,True
個室完備中華 新荘園 田町ステーションタワーS店,187206885,,東京都,港区,芝浦3-1-21,,https://gb1t009.gorp.jp/,True
"【個室居酒屋】旬鮮魚と日本酒
楽肴 ～rakuzakana～",187206885,,東京都,港区,浜松町2-5-8,,https://gjp7300.gorp.jp/,True
個室居酒屋 くいもの屋わん 田町店,187206885,,東京都,港区,芝5-31-24,,https://www.oizumifoods.co.jp/,True
肉とチーズ食べ放題 個室居酒屋 SAKURA GARDEN 渋谷,187206885,,東京都,渋谷区,宇田川町30-5,,https://sakuragarden.gorp.jp/,True
"完全個室居酒屋 和食の故郷
花道 赤坂見附店",187206885,,東京都,港区,赤坂3-9-1,,https://gf34809.gorp.jp/,True
"完全個室 和食居酒屋ごえん
新宿三丁目本店",187206885,,東京都,新宿区,新宿3-11-11,,https://gjbn400.gorp.jp/,True
完全個室×地酒 オイル鍋しゃぶと炭火焼き鳥 権鹿はなれ 立川,187206885,,東京都,立川市,錦町2-1-32,,https://ghw6400.gorp.jp/,True
"チーズと肉バル Bistro The Meat
池袋本店",187206885,,東京都,豊島区,東池袋1-39-7,,https://gfvg300.gorp.jp/,True
"個室居酒屋 肉と日本酒
いぶり 錦糸町店",187206885,,東京都,墨田区,江東橋3-11-3,,https://gb3m501.gorp.jp/,True
えびす あふそや,187206885,,東京都,渋谷区,恵比寿1-24-7,,https://ghk1500.gorp.jp/,True
創作酒庵 彩蔵 池袋,187206885,,東京都,豊島区,東池袋1-29-1,,https://creativedining.co.jp/ikebukuro,True
日比谷 個室和食 栄,187206885,,熊本県,産馬刺しと鍋完全個室居酒屋魚馬る有楽町,"店_周辺のおすすめのお店""></p></a></div><pclass=""pr-unit4",,https://gfm4702.gorp.jp/,True
月島もんじゃ三九 上野総本店,187206885,,東京都,台東区,上野4-7-2,,https://gj3m501.gorp.jp/,True
